metodo,intento,tamaño,pasos,h,tiempo en s,,metodo,tamaño,porcentaje de exito,promedio de tiempo en s,desviación estandar,promedio de pasos,desviacion estandar de pasos
sa,0,8,2008,0,"0,07657790184",,sa,8,100,"0,1092068672","0,03286440676",,
sa,1,8,2617,0,"0,1070940495",,sa,10,90,"0,2551606099","0,1350253935",,
sa,2,8,1307,0,"0,0582447052",,sa,12,90,"0,4407881021","0,1736066636",,
sa,3,8,2733,0,"0,1173768044",,sa,15,80,"0,8072238286","0,210920684",,
sa,4,8,2853,0,"0,1375091076",,hc,8,"13,33333333","4,252906028","0,8608248436",,
sa,5,8,1132,0,"0,05497908592",,hc,10,10,"5,298700507","1,085384252",,
sa,6,8,1857,0,"0,08999490738",,hc,12,"3,333333333","5,952389264","1,223089806",,
sa,7,8,3350,0,"0,1372621059",,hc,15,"3,333333333","7,103287514","1,434367287",,
sa,8,8,1999,0,"0,09257411957",,,,,,,,
sa,9,8,2502,0,"0,104074955",,,,,,,,
sa,10,8,2263,0,"0,09383392334",,,,,,,,
sa,11,8,2524,0,"0,1173501015",,,,,,,,
sa,12,8,1873,0,"0,08255290985",,,,,,,,
sa,13,8,3012,0,"0,1246938705",,,,,,,,
sa,14,8,1325,0,"0,05986404419",,,,,,,,
sa,15,8,2061,0,"0,08104968071",,,,,,,,
sa,16,8,2894,0,"0,1462316513",,,,,,,,
sa,17,8,2470,0,"0,098072052",,,,,,,,
sa,18,8,3340,0,"0,1342039108",,,,,,,,
sa,19,8,1377,0,"0,07395577431",,,,,,,,
sa,20,8,3807,0,"0,1520621777",,,,,,,,
sa,21,8,3530,0,"0,1381721497",,,,,,,,
sa,22,8,2987,0,"0,115683794",,,,,,,,
sa,23,8,2664,0,"0,1057970524",,,,,,,,
sa,24,8,3758,0,"0,1682608128",,,,,,,,
sa,25,8,1229,0,"0,05455422401",,,,,,,,
sa,26,8,2059,0,"0,1193640232",,,,,,,,
sa,27,8,3867,0,"0,1709430218",,,,,,,,
sa,28,8,2563,0,"0,1178979874",,,,,,,,
sa,29,8,3937,0,"0,1459751129",,,,,,,,
sa,0,10,2269,0,"0,1234178543",,,,,,,,
sa,1,10,3266,0,"0,1682829857",,,,,,,,
sa,2,10,4092,0,"0,2219529152",,,,,,,,
sa,3,10,4056,0,"0,25349617",,,,,,,,
sa,4,10,3132,0,"0,1941523552",,,,,,,,
sa,5,10,3355,0,"0,186794281",,,,,,,,
